idx,AirGap_pred,AirGap_gt,err
0,672.14575,650.0,22.145752
1,671.5149,650.0,21.514893
2,671.2489,648.0,23.248901
3,671.6903,649.0,22.690308
4,671.4614,649.0,22.461426
5,672.60754,651.0,21.607544
6,671.4573,650.0,21.457275
7,671.2595,650.0,21.259521
8,670.6383,650.0,20.638306
9,670.25415,649.0,21.25415
10,670.1764,649.0,21.176392
11,671.3759,650.0,21.375916
12,672.15094,650.0,22.15094
13,670.0639,650.0,20.063904
14,670.87085,650.0,20.87085
15,670.46094,649.0,21.460938
16,672.8955,650.0,22.895508
17,672.9318,649.0,23.931824
18,673.15454,651.0,22.154541
19,672.2934,650.0,22.293396
20,672.8297,650.0,22.829712
21,673.51196,650.0,23.511963
22,672.4795,649.0,23.479492
23,672.53516,650.0,22.535156
24,673.7272,650.0,23.727173
25,672.761,650.0,22.760986
26,672.6381,650.0,22.638123
27,672.8441,650.0,22.844116
28,673.1883,650.0,23.188293
29,673.0658,649.0,24.065796
30,673.62085,650.0,23.62085
31,673.50964,650.0,23.509644
32,675.06024,651.0,24.060242
33,673.64484,651.0,22.644836
34,673.96606,650.0,23.966064
35,674.2849,649.0,25.284912
36,674.4734,650.0,24.473389
37,675.9984,650.0,25.998413
38,676.29425,650.0,26.29425
39,676.09595,650.0,26.095947
40,675.50146,650.0,25.501465
41,676.1382,650.0,26.138184
42,674.3748,649.0,25.374817
43,675.45874,650.0,25.45874
44,675.24805,650.0,25.248047
45,675.5801,651.0,24.580078
46,675.94495,650.0,25.944946
47,675.23773,650.0,25.237732
48,675.8928,651.0,24.892822
49,675.7374,649.0,26.737427
50,677.6873,650.0,27.687317
51,677.8824,650.0,27.882385
52,676.5989,650.0,26.598877
53,677.27344,650.0,27.273438
54,675.88416,650.0,25.884155
55,675.4166,649.0,26.416626
56,675.47736,649.0,26.477356
57,676.3999,650.0,26.399902
58,676.3074,651.0,25.307373
59,676.717,651.0,25.71698
60,677.28754,651.0,26.287537
61,675.83105,650.0,25.831055
62,676.36426,649.0,27.364258
63,676.6636,650.0,26.663574
64,680.50366,650.0,30.503662
65,680.46387,650.0,30.463867
66,680.0143,650.0,30.014282
67,679.7406,650.0,29.7406
68,679.5832,649.0,30.58319
69,680.86127,650.0,30.861267
70,681.5683,650.0,31.568298
71,680.6692,650.0,30.66919
72,680.40686,651.0,29.40686
73,680.5797,651.0,29.579712
74,680.4565,651.0,29.456482
75,680.52966,650.0,30.529663
76,681.4802,650.0,31.480225
77,681.4146,650.0,31.414612
78,683.54486,650.0,33.54486
79,682.1735,650.0,32.173523
80,683.3538,650.0,33.35382
81,683.0323,650.0,33.032288
82,680.6872,650.0,30.687195
83,679.84393,650.0,29.843933
84,682.78674,650.0,32.786743
85,684.3705,652.0,32.370483
86,684.8499,651.0,33.849915
87,683.4987,651.0,32.49872
88,684.19055,650.0,34.19055
89,684.9768,650.0,34.976807
90,687.4126,650.0,37.412598
91,686.46344,651.0,35.46344
92,686.3459,651.0,35.345886
93,686.71344,651.0,35.71344
94,686.9145,650.0,36.91449
95,687.46423,650.0,37.464233
96,687.9347,650.0,37.934692
97,688.68176,650.0,38.681763
98,687.8308,651.0,36.83081
99,685.8743,651.0,34.87433
100,687.5237,651.0,36.52368
101,688.5232,651.0,37.523193
102,689.17926,650.0,39.17926
103,688.2721,650.0,38.272095
104,689.5449,650.0,39.54492
105,690.30164,651.0,39.301636
106,691.4759,651.0,40.47589
107,689.93475,651.0,38.934753
108,689.4478,651.0,38.447815
109,691.0335,650.0,41.03351
110,692.21704,650.0,42.21704
111,692.1118,650.0,42.111816
112,690.5199,651.0,39.519897
113,691.9407,651.0,40.940674
114,692.77625,651.0,41.776245
115,691.41504,649.0,42.41504
116,691.4771,650.0,41.47711
117,693.36334,651.0,42.363342
118,692.61084,651.0,41.61084
119,691.0377,651.0,40.03772
120,692.6221,651.0,41.62207
121,693.68463,651.0,42.68463
122,694.7966,650.0,44.79657
123,693.1217,650.0,43.121704
124,694.9057,650.0,44.9057
125,696.09326,651.0,45.09326
126,694.2921,651.0,43.292114
127,695.07825,651.0,44.078247
128,694.7401,650.0,44.740112
129,695.6587,650.0,45.65869
130,696.89343,650.0,46.893433
131,694.98926,651.0,43.989258
132,696.38544,651.0,45.385437
133,696.9658,651.0,45.96582
134,696.2627,651.0,45.262695
135,694.2205,650.0,44.22052
136,696.5094,650.0,46.5094
137,697.8265,651.0,46.826477
138,699.55365,651.0,48.55365
139,697.58325,651.0,46.583252
140,698.3982,651.0,47.398193
141,698.2206,651.0,47.22058
142,697.9813,650.0,47.981323
143,697.37744,650.0,47.37744
144,697.2449,650.0,47.244873
145,698.41516,651.0,47.41516
146,699.3024,651.0,48.30243
147,696.0226,651.0,45.022583
148,697.46075,651.0,46.460754
149,698.99,651.0,47.98999
150,698.79944,650.0,48.79944
151,697.802,650.0,47.802002
152,697.57666,651.0,46.57666
153,699.2333,651.0,48.233276
154,699.12384,651.0,48.12384
155,697.04083,650.0,47.040833
156,699.15796,650.0,49.15796
157,699.4323,650.0,49.432312
158,700.6011,651.0,49.601074
159,698.32916,651.0,47.329163
160,697.9524,651.0,46.952393
161,698.4656,651.0,47.465576
162,700.22473,651.0,49.22473
163,697.1688,651.0,46.168823
164,699.1199,651.0,48.119873
165,700.32935,651.0,49.329346
166,698.6106,651.0,47.610596
167,697.4288,651.0,46.428772
168,697.8586,651.0,46.85858
169,698.3932,651.0,47.39319
170,700.9974,650.0,50.997375
171,699.174,651.0,48.17401
172,700.88306,651.0,49.883057
173,701.2114,651.0,50.211426
174,700.8713,651.0,49.871277
175,698.4124,650.0,48.412415
176,698.23065,650.0,48.23065
177,699.9875,650.0,49.987488
178,702.2026,651.0,51.202576
179,697.0863,651.0,46.086304
180,699.8447,651.0,48.844727
181,699.8741,651.0,48.874084
182,699.28516,650.0,49.285156
183,699.0995,650.0,49.099487
184,699.19934,651.0,48.19934
185,699.8486,651.0,48.84857
186,701.2758,651.0,50.275818
187,697.5684,651.0,46.56842
188,699.52686,651.0,48.526855
189,699.5246,650.0,49.524597
190,701.16864,650.0,51.16864
191,699.85925,651.0,48.859253
192,697.28284,651.0,46.282837
193,698.7927,651.0,47.792725
194,699.852,651.0,48.85199
195,695.9518,649.0,46.951782
196,698.7833,650.0,48.783325
197,699.07544,650.0,49.07544
198,699.597,651.0,48.596985
199,698.3101,651.0,47.31012
200,696.82556,651.0,45.82556
201,698.63855,651.0,47.63855
202,700.4147,650.0,50.414673
203,697.2119,650.0,47.211914
204,699.89813,651.0,48.898132
205,699.63617,651.0,48.63617
